,benchmark,target,total_iterations,threads,actors,pings,runtime_version,extra_args,scheduler,min_time_ms,max_time_ms,median_time_ms,mean_time_ms,buffer_size,consumers,producers,items_per_producer,produce_cost,consume_cost,num_workers,grid_size,priorities,threshold,messages,data_size,max_value,seed,workers,messages_per_worker,write_percentage,size_percentage,haircuts,waiting_room_size,production_rate,haircut_rate,terms,series,start_rate,pieces,left,right,accounts,transactions,data_length,block_threshold,rounds,smokers,columns,simulations,channels,block_size,max_edge_weight,precision,size,solution_limit,eating_rounds,philosophers
0,Thread Ring,lf-cpp,12,6,100.0,1000000.0,master,[],default,212.95,235.382,222.6135,223.48366666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Ping Pong,lf-cpp,12,3,,300000.0,master,[],default,144.923,160.374,153.7975,152.7795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Producer Consumer (bounded),lf-cpp,12,3,,,master,[],default,164.507,172.161,168.713,168.73708333333335,50.0,40.0,40.0,100.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,A-Star Search,lf-cpp,12,24,,,master,[],default,176.452,676.625,394.7665,413.042,,,,,,,20.0,30.0,30.0,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Fork Join (throughput),lf-cpp,12,3,60.0,,master,[],default,56.8974,67.2897,61.890249999999995,61.717008333333325,,,,,,,,,,,10000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Radix Sort,lf-cpp,12,3,,,master,[],default,467.398,503.4,484.425,485.5600000000001,,,,,,,,,,,,40000.0,1.152921504606847e+18,2048.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Concurrent Sorted Linked List,lf-cpp,12,3,,,master,[],default,244.939,259.875,254.494,253.46533333333332,,,,,,,,,,,,,,,20.0,1500.0,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Concurrent Sorted Linked List,lf-cpp,12,6,,,master,[],default,237.772,251.909,241.2625,242.89916666666662,,,,,,,,,,,,,,,20.0,1500.0,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Concurrent Sorted Linked List,lf-cpp,12,24,,,master,[],default,243.676,320.857,263.85400000000004,268.22791666666666,,,,,,,,,,,,,,,20.0,1500.0,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Big,lf-cpp,12,24,120.0,,master,[],default,307.919,336.559,324.024,323.67316666666665,,,,,,,,,,,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Sleeping Barber,lf-cpp,12,6,,,master,[],default,105.772,113.707,108.86099999999999,108.59075,,,,,,,,,,,,,,,,,,,2000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,,,,,,,,,
11,Thread Ring,lf-cpp,12,24,100.0,1000000.0,master,[],default,216.962,229.66,223.91899999999998,223.76158333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Logistic Map Series,lf-cpp,12,6,,,master,[],default,74.126,80.596,76.17075,76.57019166666666,,,,,,,,,,,,,,,,,,,,,,,25000.0,10.0,3.46,,,,,,,,,,,,,,,,,,,
13,Producer Consumer (bounded),lf-cpp,12,24,,,master,[],default,190.508,212.297,198.883,199.94458333333333,50.0,40.0,40.0,100.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Ping Pong,lf-cpp,12,24,,300000.0,master,[],default,178.898,196.752,189.615,188.66608333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Trapezoidal Approximation,lf-cpp,12,24,,,master,[],default,81.9432,83.913,82.74725000000001,82.71644166666665,,,,,,,,,,,,,,,100.0,,,,,,,,,,,1250000.0,1.0,5.0,,,,,,,,,,,,,,,,
16,Bank Transaction,lf-cpp,12,24,,,master,[],default,124.179,143.324,127.18100000000001,129.29308333333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,12000.0,,,,,,,,,,,,,,
17,Sleeping Barber,lf-cpp,12,24,,,master,[],default,109.924,124.932,114.253,114.77683333333334,,,,,,,,,,,,,,,,,,,2000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,,,,,,,,,
18,Recursive Matrix Multiplication,lf-cpp,12,3,,,master,[],default,99.7774,103.737,101.9565,101.87078333333334,,,,,,,,,10.0,,,,,,20.0,,,,,,,,,,,,,,,,512.0,16384.0,,,,,,,,,,,,
19,Cigarette Smokers,lf-cpp,12,24,,,master,[],default,10.838,21.0527,10.9842,11.860558333333335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,200.0,,,,,,,,,,
20,Trapezoidal Approximation,lf-cpp,12,6,,,master,[],default,83.4448,86.9461,84.10505,84.59689999999999,,,,,,,,,,,,,,,100.0,,,,,,,,,,,1250000.0,1.0,5.0,,,,,,,,,,,,,,,,
21,Thread Ring,lf-cpp,12,3,100.0,1000000.0,master,[],default,203.465,211.915,210.211,209.4165833333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Filter Bank,lf-cpp,12,3,,,master,[],default,688.685,762.104,731.8995,723.4636666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,34816.0,8.0,,,,,,,
23,All-Pairs Shortest Path,lf-cpp,12,3,,,master,[],default,304.787,323.314,313.8,313.24066666666664,,,,,,,198.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,100.0,,,,,
24,Cigarette Smokers,lf-cpp,12,6,,,master,[],default,9.57195,11.1383,10.659600000000001,10.543554166666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,200.0,,,,,,,,,,
25,All-Pairs Shortest Path,lf-cpp,12,24,,,master,[],default,408.858,440.809,419.519,421.88183333333336,,,,,,,198.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,100.0,,,,,
26,Precise Pi Computation,lf-cpp,12,24,,,master,[],default,100.679,112.307,106.4555,106.35741666666667,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,4250.0,,,,
27,Recursive Matrix Multiplication,lf-cpp,12,6,,,master,[],default,101.391,107.796,104.1635,104.27491666666667,,,,,,,,,10.0,,,,,,20.0,,,,,,,,,,,,,,,,512.0,16384.0,,,,,,,,,,,,
28,NQueens first N solutions,lf-cpp,12,24,,,master,[],default,479.21,513.525,500.022,499.71675,,,,,,,20.0,,10.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,1500000.0,,
29,Filter Bank,lf-cpp,12,6,,,master,[],default,329.24,343.992,338.36,337.12708333333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,34816.0,8.0,,,,,,,
30,A-Star Search,lf-cpp,12,3,,,master,[],default,85.2936,1138.37,340.9965,404.4621333333334,,,,,,,20.0,30.0,30.0,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,A-Star Search,lf-cpp,12,6,,,master,[],default,121.741,669.817,371.1815,406.0355833333333,,,,,,,20.0,30.0,30.0,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Logistic Map Series,lf-cpp,12,3,,,master,[],default,129.897,167.348,146.2845,149.14475000000002,,,,,,,,,,,,,,,,,,,,,,,25000.0,10.0,3.46,,,,,,,,,,,,,,,,,,,
33,Fork Join (throughput),lf-cpp,12,6,60.0,,master,[],default,31.9211,34.4104,33.1004,32.919291666666666,,,,,,,,,,,10000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Radix Sort,lf-cpp,12,24,,,master,[],default,538.939,592.265,546.7115,552.2913333333335,,,,,,,,,,,,40000.0,1.152921504606847e+18,2048.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Filter Bank,lf-cpp,12,24,,,master,[],default,339.224,364.018,352.2845,349.9155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,34816.0,8.0,,,,,,,
36,Philosophers,lf-cpp,12,24,,,master,[],default,100.711,107.305,103.7185,103.68458333333335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,20.0
37,Cigarette Smokers,lf-cpp,12,3,,,master,[],default,9.84027,10.7565,10.643,10.5632975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,200.0,,,,,,,,,,
38,Trapezoidal Approximation,lf-cpp,12,3,,,master,[],default,81.6015,83.9061,82.7793,82.87363333333334,,,,,,,,,,,,,,,100.0,,,,,,,,,,,1250000.0,1.0,5.0,,,,,,,,,,,,,,,,
39,Fork Join (throughput),lf-cpp,12,24,60.0,,master,[],default,33.7199,36.4017,34.584199999999996,34.77556666666667,,,,,,,,,,,10000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Counting Actor,lf-cpp,12,24,,,master,[],default,442.319,476.755,458.73850000000004,458.35133333333334,,,,,,,,,,,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Counting Actor,lf-cpp,12,3,,,master,[],default,341.415,362.954,357.777,355.91841666666664,,,,,,,,,,,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Precise Pi Computation,lf-cpp,12,6,,,master,[],default,117.087,129.197,121.916,122.33766666666666,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,4250.0,,,,
43,Philosophers,lf-cpp,12,6,,,master,[],default,101.161,110.648,106.2045,105.69350000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,20.0
44,Ping Pong,lf-cpp,12,6,,300000.0,master,[],default,159.074,168.173,160.81900000000002,161.69083333333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Counting Actor,lf-cpp,12,6,,,master,[],default,350.961,375.05,363.59799999999996,363.97075,,,,,,,,,,,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Producer Consumer (bounded),lf-cpp,12,6,,,master,[],default,211.396,247.404,229.405,230.326,50.0,40.0,40.0,100.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Radix Sort,lf-cpp,12,6,,,master,[],default,464.311,512.173,484.7575,483.53850000000006,,,,,,,,,,,,40000.0,1.152921504606847e+18,2048.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,NQueens first N solutions,lf-cpp,12,6,,,master,[],default,480.88,503.069,488.70799999999997,489.69800000000004,,,,,,,20.0,,10.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,1500000.0,,
49,Philosophers,lf-cpp,12,3,,,master,[],default,229.369,260.682,249.4755,247.28858333333338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,20.0
50,Big,lf-cpp,12,3,120.0,,master,[],default,243.263,251.382,246.8465,247.10275000000001,,,,,,,,,,,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Bank Transaction,lf-cpp,12,3,,,master,[],default,112.627,121.06,116.116,116.30216666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,12000.0,,,,,,,,,,,,,,
52,Concurrent Dictionary,lf-cpp,12,3,,,master,[],default,165.51,178.215,175.3275,173.93491666666662,,,,,,,,,,,,,,,20.0,10000.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,NQueens first N solutions,lf-cpp,12,3,,,master,[],default,425.418,457.737,435.6155,436.9928333333333,,,,,,,20.0,,10.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,1500000.0,,
54,Concurrent Dictionary,lf-cpp,12,24,,,master,[],default,98.2202,109.458,103.9795,103.65543333333335,,,,,,,,,,,,,,,20.0,10000.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,All-Pairs Shortest Path,lf-cpp,12,6,,,master,[],default,422.345,466.82,445.25699999999995,445.50350000000003,,,,,,,198.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,100.0,,,,,
56,Precise Pi Computation,lf-cpp,12,3,,,master,[],default,84.2589,87.8285,86.70695,86.25274999999999,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,4250.0,,,,
57,Logistic Map Series,lf-cpp,12,24,,,master,[],default,72.4786,81.2732,77.07595,77.11019166666667,,,,,,,,,,,,,,,,,,,,,,,25000.0,10.0,3.46,,,,,,,,,,,,,,,,,,,
58,Recursive Matrix Multiplication,lf-cpp,12,24,,,master,[],default,100.722,108.577,102.77600000000001,103.56524999999999,,,,,,,,,10.0,,,,,,20.0,,,,,,,,,,,,,,,,512.0,16384.0,,,,,,,,,,,,
59,Sleeping Barber,lf-cpp,12,3,,,master,[],default,105.118,109.256,107.4825,107.17599999999999,,,,,,,,,,,,,,,,,,,2000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,,,,,,,,,
60,Concurrent Dictionary,lf-cpp,12,6,,,master,[],default,93.8666,106.784,102.6375,102.45736666666666,,,,,,,,,,,,,,,20.0,10000.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Big,lf-cpp,12,6,120.0,,master,[],default,305.83,327.834,317.5295,317.3619166666667,,,,,,,,,,,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Bank Transaction,lf-cpp,12,6,,,master,[],default,121.101,137.114,130.67149999999998,129.75316666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,12000.0,,,,,,,,,,,,,,
